customer_id,credit_score,bureau_accounts,active_accounts,overdue_accounts,total_bureau_loan_amount,credit_utilization
C100000,844.0,7,2,0,225400.0,0.414
C100001,758.0,4,1,1,431600.0,0.489
C100002,665.0,8,1,0,434800.0,0.4
C100003,726.0,4,4,0,993200.0,0.301
C100004,680.0,6,3,0,166200.0,0.197
C100005,702.0,6,6,2,517100.0,0.442
C100006,627.0,4,2,0,330300.0,0.376
C100007,722.0,6,4,0,544200.0,0.086
C100008,625.0,4,3,0,915100.0,0.4
C100009,,9,4,0,667300.0,0.435
C100010,730.0,6,5,0,245300.0,0.055
C100011,756.0,3,2,1,1220600.0,0.297
C100012,832.0,3,5,0,212200.0,0.039
C100013,619.0,1,1,1,261900.0,0.441
C100014,644.0,5,1,1,678500.0,0.434
C100015,655.0,2,1,2,911400.0,0.039
C100016,679.0,4,3,0,702600.0,0.057
C100017,758.0,3,4,0,1084800.0,0.591
C100018,691.0,8,2,1,383500.0,0.073
C100019,678.0,3,3,1,485800.0,0.155
C100020,648.0,7,3,0,300600.0,0.417
C100021,675.0,3,4,0,803800.0,0.376
C100022,686.0,3,4,0,211800.0,0.45
C100023,704.0,7,3,1,3700100.0,0.177
C100024,631.0,4,4,1,447900.0,0.232
C100025,706.0,6,5,0,654700.0,0.093
C100026,741.0,4,1,0,372100.0,0.225
C100027,729.0,6,2,0,293200.0,0.356
C100028,641.0,2,2,0,606100.0,0.151
C100029,755.0,5,5,0,1797200.0,0.525
C100030,754.0,5,3,3,503400.0,0.115
C100031,726.0,5,1,2,463600.0,0.276
C100032,642.0,5,2,0,254600.0,0.172
C100033,629.0,6,2,0,393900.0,0.081
C100034,712.0,7,3,1,618100.0,0.549
C100035,653.0,7,4,0,313500.0,0.154
C100036,636.0,4,3,0,1441100.0,0.096
C100037,759.0,5,4,0,882300.0,0.332
C100038,760.0,1,1,0,352800.0,0.136
C100039,745.0,5,1,1,774500.0,0.2
C100040,782.0,3,2,2,992500.0,0.159
C100041,759.0,7,4,0,460900.0,0.503
C100042,,2,3,0,190800.0,0.253
C100043,773.0,5,3,0,1617000.0,0.261
C100044,716.0,7,5,0,437600.0,0.546
C100045,734.0,6,3,1,312700.0,0.32
C100046,796.0,6,2,0,1166000.0,0.479
C100047,734.0,5,4,1,993700.0,0.427
C100048,796.0,2,2,2,508000.0,0.554
C100049,713.0,9,3,1,490900.0,0.325
C100050,689.0,8,3,0,850100.0,0.483
C100051,671.0,4,2,0,788500.0,0.335
C100052,702.0,4,2,0,1710000.0,0.283
C100053,618.0,3,1,0,917200.0,0.612
C100054,706.0,5,1,0,434500.0,0.285
C100055,703.0,4,4,1,1140000.0,0.41
C100056,681.0,4,3,1,491700.0,0.394
C100057,587.0,5,1,0,197500.0,0.484
C100058,592.0,6,4,0,1005700.0,0.641
C100059,749.0,3,2,0,160400.0,0.162
C100060,657.0,9,4,0,470500.0,0.399
C100061,785.0,2,8,0,612800.0,0.165
C100062,671.0,4,4,2,773000.0,0.284
C100063,,7,4,1,408300.0,0.329
C100064,630.0,5,4,0,318900.0,0.091
C100065,675.0,5,5,0,1482900.0,0.285
C100066,698.0,3,4,0,491600.0,0.104
C100067,742.0,4,1,0,1998600.0,0.266
C100068,802.0,8,2,0,1006900.0,0.298
C100069,763.0,4,3,0,738300.0,0.383
C100070,630.0,5,5,0,426800.0,0.595
C100071,710.0,4,2,2,2468600.0,0.429
C100072,701.0,5,1,0,635300.0,0.158
C100073,675.0,3,1,1,125000.0,0.145
C100074,742.0,6,2,0,521800.0,0.62
C100075,797.0,3,3,0,175900.0,0.564
C100076,685.0,5,2,0,306900.0,0.357
C100077,771.0,4,2,0,811900.0,0.252
C100078,787.0,5,2,1,564300.0,0.322
C100079,652.0,4,1,0,284800.0,0.094
C100080,808.0,3,2,0,754100.0,0.321
C100081,803.0,3,6,0,129800.0,0.288
C100082,726.0,6,4,1,1626700.0,0.188
C100083,804.0,4,3,0,531500.0,0.27
C100084,724.0,6,3,1,273400.0,0.276
C100085,773.0,4,3,0,283200.0,0.047
C100086,746.0,5,1,0,569800.0,0.576
C100087,663.0,2,1,0,1103400.0,0.436
C100088,724.0,5,3,0,1498900.0,0.409
C100089,701.0,4,3,0,639200.0,0.329
C100090,683.0,3,3,1,1249600.0,0.333
C100091,647.0,6,3,0,1454700.0,0.251
C100092,667.0,4,4,0,552700.0,0.274
C100093,642.0,4,1,1,235000.0,0.366
C100094,773.0,1,3,0,712000.0,0.699
C100095,602.0,5,2,0,231200.0,0.369
C100096,714.0,5,2,2,631700.0,0.081
C100097,676.0,4,2,0,457200.0,0.285
C100098,641.0,6,4,0,295800.0,0.235
C100099,750.0,3,2,1,255300.0,0.239
C100100,666.0,5,2,0,432600.0,0.058
C100101,776.0,1,4,0,416100.0,0.315
C100102,700.0,3,4,1,1700300.0,0.448
C100103,728.0,4,3,0,533900.0,0.236
C100104,703.0,5,4,0,306000.0,0.223
C100105,746.0,5,2,1,683500.0,0.353
C100106,762.0,3,2,0,128500.0,0.111
C100107,685.0,2,3,0,835500.0,0.369
C100108,710.0,6,2,0,2456400.0,0.173
C100109,807.0,5,3,0,836200.0,0.288
C100110,678.0,5,1,0,576700.0,0.602
C100111,810.0,5,2,2,537600.0,0.255
C100112,688.0,3,5,1,439700.0,0.26
C100113,679.0,5,3,0,564100.0,0.162
C100114,617.0,3,1,0,259500.0,0.431
C100115,663.0,3,3,0,526100.0,0.158
C100116,614.0,3,1,0,316200.0,0.155
C100117,679.0,6,3,0,263100.0,0.173
C100118,748.0,6,3,0,563100.0,0.212
C100119,707.0,4,4,2,572600.0,0.562
C100120,677.0,8,3,0,365700.0,0.232
C100121,654.0,3,3,1,777600.0,0.129
C100122,672.0,6,3,0,465700.0,0.135
C100123,630.0,9,4,0,1280400.0,0.178
C100124,,3,4,1,192300.0,0.267
C100125,817.0,8,2,0,774400.0,0.391
C100126,723.0,6,1,0,380800.0,0.288
C100127,660.0,8,5,3,299000.0,0.057
C100128,747.0,2,2,1,134800.0,0.358
C100129,793.0,7,3,0,1701100.0,0.357
C100130,675.0,4,6,0,255700.0,0.54
C100131,704.0,2,3,0,2570000.0,0.03
C100132,641.0,6,3,0,793900.0,0.444
C100133,622.0,5,2,0,532800.0,0.051
C100134,786.0,11,4,0,196800.0,0.247
C100135,850.0,2,2,2,1694300.0,0.253
C100136,669.0,4,4,0,584300.0,0.84
C100137,621.0,3,3,0,391200.0,0.053
C100138,788.0,9,3,0,1047700.0,0.124
C100139,768.0,5,2,0,519600.0,0.505
C100140,736.0,4,5,0,807800.0,0.127
C100141,791.0,2,3,1,575500.0,0.041
C100142,691.0,6,3,0,1021100.0,0.427
C100143,725.0,6,2,0,606600.0,0.266
