customer_id,age,gender,city,state,employment_type,monthly_income,customer_segment
C100000,41.0,Female,Pune,Maharashtra,Salaried,64700.0,Mass Affluent
C100001,27.0,Female,Pune,Maharashtra,Contract,47700.0,Mass
C100002,27.0,Male,Ahmedabad,Gujarat,Salaried,42800.0,SME
C100003,31.0,Male,Dwarka,Delhi,Self-employed,89700.0,Mass Affluent
C100004,32.0,Female,Hyderabad,Telangana,Salaried,28400.0,Affluent
C100005,36.0,Male,Hyderabad,Telangana,Self-employed,77700.0,Mass
C100006,42.0,Male,Hyderabad,Telangana,Salaried,32500.0,Mass
C100007,40.0,Female,Mumbai,Maharashtra,Salaried,54400.0,Mass
C100008,48.0,Female,Dwarka,Delhi,Salaried,88000.0,Mass
C100009,24.0,Female,Mysuru,Karnataka,Self-employed,69800.0,Mass Affluent
C100010,40.0,Male,Chennai,Tamil Nadu,Self-employed,63200.0,Mass Affluent
C100011,40.0,Female,Kolkata,West Bengal,Business Owner,141900.0,Affluent
C100012,54.0,Male,Dwarka,Delhi,Salaried,56400.0,Mass
C100013,36.0,Male,Pune,Maharashtra,Salaried,52900.0,Mass Affluent
C100014,41.0,Male,Dwarka,Delhi,Salaried,53300.0,Mass Affluent
C100015,30.0,Female,Pune,Maharashtra,Salaried,125500.0,Mass
C100016,42.0,Female,Surat,Gujarat,Self-employed,105400.0,Mass
C100017,42.0,Female,Siliguri,West Bengal,Salaried,78800.0,Mass
C100018,32.0,Female,Siliguri,West Bengal,Salaried,37200.0,Mass
C100019,34.0,Male,Hyderabad,Telangana,Salaried,83800.0,Mass
C100020,38.0,Male,Kolkata,West Bengal,Self-employed,43600.0,Mass
C100021,44.0,Female,Chennai,Tamil Nadu,Salaried,78700.0,SME
C100022,26.0,Male,Bengaluru,Karnataka,Self-employed,47200.0,Mass Affluent
C100023,47.0,Male,Dwarka,Delhi,Business Owner,269900.0,Mass
C100024,35.0,Female,Dwarka,Delhi,Self-employed,36500.0,Mass Affluent
C100025,57.0,Male,Hyderabad,Telangana,Salaried,109700.0,Mass Affluent
C100026,53.0,Female,Siliguri,West Bengal,Salaried,90800.0,Affluent
C100027,34.0,Female,Mysuru,Karnataka,Contract,21000.0,Mass
C100028,32.0,Female,Ahmedabad,Gujarat,Salaried,56800.0,Mass
C100029,63.0,Female,Mumbai,Maharashtra,Self-employed,149100.0,Mass Affluent
C100030,44.0,Male,Chennai,Tamil Nadu,Salaried,105500.0,Mass Affluent
C100031,44.0,Male,Ahmedabad,Gujarat,Self-employed,36900.0,Mass
C100032,34.0,Male,Bengaluru,Karnataka,Salaried,50000.0,Affluent
C100033,37.0,Male,Warangal,Telangana,Salaried,37300.0,Mass
C100034,46.0,Female,Dwarka,Delhi,Self-employed,49100.0,Mass Affluent
C100035,44.0,Female,Dwarka,Delhi,Salaried,47400.0,Mass Affluent
C100036,30.0,Male,Siliguri,West Bengal,Contract,106900.0,Mass Affluent
C100037,51.0,Female,Surat,Gujarat,Business Owner,118700.0,Mass
C100038,41.0,Female,Ahmedabad,Gujarat,Salaried,57100.0,Affluent
C100039,28.0,Female,New Delhi,Delhi,Self-employed,66900.0,Mass Affluent
C100040,48.0,Female,Siliguri,West Bengal,Self-employed,104900.0,Mass Affluent
C100041,36.0,Female,Siliguri,West Bengal,Retired,55700.0,Affluent
C100042,46.0,Male,Mumbai,Maharashtra,Salaried,41800.0,SME
C100043,32.0,Male,Mysuru,Karnataka,Salaried,122200.0,Mass Affluent
C100044,42.0,Female,Chennai,Tamil Nadu,Salaried,38800.0,Mass
C100045,22.0,Male,New Delhi,Delhi,Business Owner,98600.0,Affluent
C100046,42.0,Female,Ahmedabad,Gujarat,Business Owner,136800.0,SME
C100047,23.0,Female,Dwarka,Delhi,Salaried,136300.0,Affluent
C100048,40.0,Male,Siliguri,West Bengal,Salaried,54000.0,Mass
C100049,21.0,Female,Coimbatore,Tamil Nadu,Self-employed,,Affluent
C100050,37.0,Female,Kolkata,West Bengal,Salaried,113400.0,Mass Affluent
C100051,45.0,Male,Warangal,Telangana,Salaried,83600.0,Mass Affluent
C100052,43.0,Female,Surat,Gujarat,Self-employed,129000.0,Mass
C100053,50.0,Male,Bengaluru,Karnataka,Salaried,100700.0,Mass
C100054,27.0,Female,Warangal,Telangana,Salaried,71000.0,Affluent
C100055,54.0,Female,Surat,Gujarat,Salaried,83800.0,Mass
C100056,54.0,Male,Siliguri,West Bengal,Self-employed,117400.0,Mass Affluent
C100057,26.0,Female,Kolkata,West Bengal,Salaried,62300.0,Mass Affluent
C100058,30.0,Female,Kolkata,West Bengal,Salaried,129600.0,Mass
C100059,32.0,Female,Pune,Maharashtra,Contract,19100.0,Mass Affluent
C100060,38.0,Female,Surat,Gujarat,Salaried,41700.0,Mass
C100061,40.0,Female,Dwarka,Delhi,Salaried,120900.0,Affluent
C100062,21.0,Female,Hyderabad,Telangana,Self-employed,94200.0,Mass Affluent
C100063,44.0,Female,Mysuru,Karnataka,Contract,34900.0,Mass
C100064,35.0,Male,Pune,Maharashtra,Contract,55300.0,Mass
C100065,28.0,Female,Mumbai,Maharashtra,Self-employed,,Affluent
C100066,48.0,Female,Kolkata,West Bengal,Contract,36300.0,Affluent
C100067,34.0,Male,Siliguri,West Bengal,Business Owner,,Affluent
C100068,49.0,Male,Chennai,Tamil Nadu,Business Owner,105700.0,Mass Affluent
C100069,43.0,Male,New Delhi,Delhi,Salaried,60000.0,Mass
C100070,35.0,Male,Mysuru,Karnataka,Salaried,61200.0,Mass
C100071,50.0,Male,Mysuru,Karnataka,Business Owner,184200.0,Mass
C100072,46.0,Female,Kolkata,West Bengal,Self-employed,47000.0,Mass
C100073,33.0,Female,Hyderabad,Telangana,Retired,34600.0,Mass
C100074,22.0,Male,Pune,Maharashtra,Salaried,85100.0,Mass
C100075,32.0,Male,Bengaluru,Karnataka,Contract,27000.0,Mass
C100076,44.0,Female,Dwarka,Delhi,Salaried,31000.0,Mass
C100077,36.0,Female,Kolkata,West Bengal,Contract,60300.0,Mass
C100078,56.0,Female,Siliguri,West Bengal,Retired,40800.0,Mass
C100079,41.0,Male,Bengaluru,Karnataka,Salaried,59100.0,SME
C100080,40.0,Male,Warangal,Telangana,Salaried,67300.0,SME
C100081,42.0,Female,Pune,Maharashtra,Retired,26400.0,Mass
C100082,29.0,Male,Bengaluru,Karnataka,Retired,151400.0,Mass Affluent
C100083,37.0,Female,Bengaluru,Karnataka,Self-employed,49900.0,Mass
C100084,31.0,Female,New Delhi,Delhi,Salaried,51900.0,Mass Affluent
C100085,21.0,Female,Coimbatore,Tamil Nadu,Salaried,33300.0,Mass Affluent
C100086,21.0,Male,Ahmedabad,Gujarat,Salaried,52400.0,Mass Affluent
C100087,45.0,Male,Dwarka,Delhi,Contract,92700.0,Mass
C100088,33.0,Male,Chennai,Tamil Nadu,Business Owner,112700.0,Mass Affluent
C100089,37.0,Male,Siliguri,West Bengal,Salaried,82600.0,Mass
C100090,23.0,Male,Warangal,Telangana,Business Owner,89900.0,Mass Affluent
C100091,32.0,Male,Hyderabad,Telangana,Contract,105500.0,Affluent
C100092,46.0,Female,Surat,Gujarat,Salaried,68000.0,Mass
C100093,39.0,Female,Coimbatore,Tamil Nadu,Contract,26600.0,SME
C100094,33.0,Male,Siliguri,West Bengal,Salaried,89300.0,Mass
C100095,53.0,Female,Pune,Maharashtra,Salaried,53500.0,Affluent
C100096,37.0,Male,Coimbatore,Tamil Nadu,Salaried,83000.0,SME
C100097,34.0,Male,Mysuru,Karnataka,Salaried,67300.0,Mass Affluent
C100098,49.0,Male,Pune,Maharashtra,Self-employed,87500.0,Affluent
C100099,21.0,Female,Siliguri,West Bengal,Salaried,67200.0,Mass Affluent
C100100,44.0,Male,Mumbai,Maharashtra,Self-employed,51700.0,Mass
C100101,27.0,Male,Dwarka,Delhi,Salaried,,Mass Affluent
C100102,30.0,Female,Surat,Gujarat,Business Owner,173400.0,Mass
C100103,31.0,Female,Hyderabad,Telangana,Salaried,59400.0,Mass
C100104,39.0,Female,Surat,Gujarat,Salaried,71800.0,Affluent
C100105,39.0,Female,Pune,Maharashtra,Salaried,51300.0,Mass
C100106,41.0,Female,New Delhi,Delhi,Self-employed,31300.0,SME
C100107,40.0,Female,Mumbai,Maharashtra,Business Owner,62900.0,Mass
C100108,52.0,Female,Mysuru,Karnataka,Business Owner,209400.0,Mass
C100109,55.0,Female,Ahmedabad,Gujarat,Business Owner,78500.0,Affluent
C100110,45.0,Female,Mumbai,Maharashtra,Business Owner,94000.0,Affluent
C100111,46.0,Female,Warangal,Telangana,Self-employed,40200.0,Mass
C100112,34.0,Male,Mumbai,Maharashtra,Salaried,49800.0,Mass Affluent
C100113,27.0,Male,Chennai,Tamil Nadu,Salaried,53400.0,SME
C100114,44.0,Female,Siliguri,West Bengal,Contract,42200.0,Mass
C100115,38.0,Female,Coimbatore,Tamil Nadu,Salaried,61100.0,Mass
C100116,47.0,Male,Coimbatore,Tamil Nadu,Self-employed,58500.0,Mass
C100117,21.0,Male,Mumbai,Maharashtra,Salaried,48700.0,Mass Affluent
C100118,65.0,Female,Ahmedabad,Gujarat,Salaried,62700.0,Mass Affluent
C100119,25.0,Female,Mysuru,Karnataka,Salaried,72900.0,Mass
C100120,38.0,Male,Dwarka,Delhi,Salaried,59200.0,Mass Affluent
C100121,48.0,Female,Pune,Maharashtra,Business Owner,244400.0,Mass
C100122,24.0,Male,Pune,Maharashtra,Salaried,69200.0,Mass Affluent
C100123,32.0,Male,Surat,Gujarat,Business Owner,119900.0,Mass Affluent
C100124,21.0,Male,Mumbai,Maharashtra,Salaried,46900.0,Mass Affluent
C100125,24.0,Male,Dwarka,Delhi,Salaried,100100.0,Mass Affluent
C100126,21.0,Female,Chennai,Tamil Nadu,Salaried,39800.0,Mass
C100127,39.0,Female,Mumbai,Maharashtra,Self-employed,37400.0,Mass Affluent
C100128,41.0,Male,Warangal,Telangana,Salaried,40600.0,Mass
C100129,35.0,Female,Ahmedabad,Gujarat,Business Owner,147300.0,Affluent
C100130,51.0,Female,Kolkata,West Bengal,Contract,27800.0,Mass
C100131,52.0,Male,Bengaluru,Karnataka,Business Owner,199500.0,Affluent
C100132,38.0,Male,Kolkata,West Bengal,Salaried,62300.0,Mass Affluent
C100133,36.0,Female,Mumbai,Maharashtra,Self-employed,39200.0,Mass Affluent
C100134,35.0,Male,Mumbai,Maharashtra,Salaried,56800.0,Mass Affluent
C100135,33.0,Female,Hyderabad,Telangana,Self-employed,172900.0,Mass Affluent
C100136,51.0,Female,Kolkata,West Bengal,Salaried,42800.0,Mass
C100137,40.0,Female,Kolkata,West Bengal,Business Owner,61800.0,Mass Affluent
C100138,35.0,Female,Surat,Gujarat,Salaried,79300.0,Mass Affluent
C100139,36.0,Female,Mumbai,Maharashtra,Contract,83700.0,Affluent
C100140,43.0,Female,Chennai,Tamil Nadu,Salaried,99400.0,Mass
C100141,34.0,Female,Surat,Gujarat,Salaried,54300.0,Affluent
C100142,41.0,Female,New Delhi,Delhi,Self-employed,84300.0,Mass
C100143,38.0,Male,Bengaluru,Karnataka,Contract,53800.0,Affluent
C100144,52.0,Female,Warangal,Telangana,Business Owner,188900.0,Affluent
C100145,50.0,Female,Pune,Maharashtra,Salaried,165500.0,Mass
C100146,24.0,Female,Hyderabad,Telangana,Salaried,60000.0,SME
C100147,36.0,Male,Mumbai,Maharashtra,Business Owner,199800.0,Affluent
C100148,45.0,Female,Chennai,Tamil Nadu,Salaried,53900.0,Mass Affluent
C100149,33.0,Female,Coimbatore,Tamil Nadu,Salaried,82000.0,Mass
C100150,46.0,Female,Kolkata,West Bengal,Contract,30500.0,Affluent
C100151,41.0,Female,Surat,Gujarat,Contract,,Mass Affluent
C100152,44.0,Female,Hyderabad,Telangana,Salaried,75900.0,Mass
C100153,37.0,Female,New Delhi,Delhi,Self-employed,51700.0,Mass Affluent
C100154,41.0,Male,Chennai,Tamil Nadu,Contract,69300.0,Mass
C100155,43.0,Male,Surat,Gujarat,Salaried,49100.0,Mass Affluent
C100156,23.0,Female,Kolkata,West Bengal,Contract,48100.0,Mass
C100157,29.0,Female,Bengaluru,Karnataka,Contract,44800.0,Mass
C100158,28.0,Male,Bengaluru,Karnataka,Business Owner,95800.0,Mass
C100159,55.0,Female,Chennai,Tamil Nadu,Business Owner,118100.0,Mass
C100160,41.0,Male,New Delhi,Delhi,Business Owner,181000.0,Mass Affluent
C100161,42.0,Female,Bengaluru,Karnataka,Self-employed,,Mass Affluent
C100162,40.0,Male,Coimbatore,Tamil Nadu,Self-employed,45400.0,Mass
C100163,33.0,Female,Kolkata,West Bengal,Salaried,72000.0,Mass
C100164,31.0,Female,Coimbatore,Tamil Nadu,Self-employed,71600.0,Mass
C100165,47.0,Female,Kolkata,West Bengal,Self-employed,51400.0,Mass
C100166,34.0,Female,Dwarka,Delhi,Self-employed,88100.0,Affluent
C100167,54.0,Male,Coimbatore,Tamil Nadu,Self-employed,52200.0,SME
C100168,40.0,Male,Kolkata,West Bengal,Salaried,60800.0,SME
C100169,39.0,Male,New Delhi,Delhi,Business Owner,194500.0,Mass
C100170,36.0,Female,Surat,Gujarat,Business Owner,44800.0,Mass
C100171,37.0,Male,Chennai,Tamil Nadu,Salaried,70400.0,Mass
C100172,38.0,Female,Kolkata,West Bengal,Business Owner,136100.0,Mass Affluent
C100173,53.0,Female,Surat,Gujarat,Salaried,40900.0,Mass
C100174,62.0,Male,Kolkata,West Bengal,Salaried,79700.0,Mass
C100175,26.0,Female,Mumbai,Maharashtra,Salaried,73700.0,Affluent
C100176,41.0,Male,Mumbai,Maharashtra,Salaried,53800.0,SME
C100177,45.0,Male,Mumbai,Maharashtra,Self-employed,133700.0,Mass Affluent
C100178,29.0,Female,Dwarka,Delhi,Salaried,34900.0,Affluent
