transaction_id,transaction_date,customer_id,loan_id,age,gender,city,state,employment_type,monthly_income,customer_segment,credit_score,bureau_accounts,active_accounts,overdue_accounts,total_bureau_loan_amount,credit_utilization,loan_type,loan_amount,tenure_months,interest_rate,loan_status,disbursement_date,emi_amount,days_past_due,emi_paid,emi_missed,late_payment_count,principal_outstanding,interest_paid,penalty_amount,recovery_amount,profit_amount,transaction_type,transaction_amount,payment_channel,merchant_category,transaction_status
T300102,2025-07-01,C100018,L201369,34.0,Male,New Delhi,Delhi,Salaried,49200.0,Mass Affluent,649.0,8,3,1,301900.0,0.49,Home,820777.1,300.0,9.32,Closed,2026-05-26,7068.67,6.0,1.0,0.0,0.0,816182.46,4541.62,0.0,165.71,-58268.39,Debit,2934.87,UPI,Groceries,Successful
T302162,2025-07-01,C100791,L200804,36.0,Female,Ahmedabad,Gujarat,Salaried,68500.0,Mass,694.0,5,3,0,828400.0,0.482,Personal,174688.4,12.0,13.52,Delinquent,2026-01-04,15645.34,4.0,5.0,0.0,0.0,123841.04,50260.66,0.0,488.68,39669.48,Debit,1132.88,Card,Healthcare,Successful
T301168,2025-07-01,C100453,L200564,47.0,Female,Coimbatore,Tamil Nadu,Business Owner,61500.0,Mass,667.0,7,4,0,631300.0,0.245,Auto,240871.91,36.0,10.46,Delinquent,2026-05-19,7824.38,9.0,1.0,0.0,0.0,235786.06,5027.17,0.0,908.94,-8765.06,Debit,696.12,IMPS,Education,Successful
T300930,2025-07-01,C100535,L201780,38.0,Female,Chennai,Tamil Nadu,Salaried,40500.0,SME,703.0,3,3,0,311600.0,0.099,Business,383598.89,36.0,16.73,Delinquent,2026-01-04,13624.86,31.0,4.0,1.0,1.0,348174.26,35015.88,707.75,139.01,7989.12,Credit,1094.26,Card,Utilities,Successful
T302113,2025-07-02,C100170,L202012,21.0,Male,Nagpur,Maharashtra,Retired,59500.0,Mass,673.0,6,1,1,347800.0,0.204,Auto,160542.3,60.0,11.72,Closed,2025-09-13,3548.5,8.0,9.0,0.0,0.0,139783.57,20519.21,0.0,94.61,5005.05,Debit,6453.61,IMPS,Education,Failed
T301646,2025-07-02,C100686,L200453,43.0,Male,Madurai,Tamil Nadu,Salaried,73800.0,Mass,644.0,5,5,0,428200.0,0.152,Auto,231993.73,48.0,11.92,Active,2026-02-20,6100.18,8.0,4.0,0.0,0.0,216133.27,15677.45,0.0,373.51,974.55,Debit,497.17,Net Banking,Healthcare,Successful
T301947,2025-07-02,C100460,L201415,24.0,Male,Dwarka,Delhi,Self-employed,78600.0,SME,626.0,2,2,0,838000.0,0.167,Personal,187718.81,36.0,16.85,Active,2026-05-02,6678.68,7.0,1.0,0.0,0.0,183377.67,4291.05,0.0,734.78,-17296.96,Debit,1164.1,IMPS,Utilities,Successful
T300859,2025-07-02,C100411,L200237,31.0,Female,New Delhi,Delhi,Self-employed,110500.0,Affluent,738.0,3,3,0,1208200.0,0.103,Auto,398054.59,60.0,9.38,Written Off,2025-08-16,8336.56,15.0,9.0,1.0,2.0,422254.02,88338.76,333.52,99598.13,-131463.75,Debit,220.65,UPI,Travel,Successful
T300938,2025-07-02,C100185,L200906,36.0,Male,Ahmedabad,Gujarat,Business Owner,117900.0,Mass,665.0,6,2,0,405700.0,0.222,Home,1740455.96,120.0,8.13,Active,2025-07-23,21236.28,0.0,11.0,0.0,0.0,1588616.57,150087.4,0.0,116.83,26671.03,Debit,6713.45,IMPS,Utilities,Successful
T300467,2025-07-02,C100249,L201662,21.0,Male,Nizamabad,Telangana,Salaried,28200.0,Affluent,597.0,7,2,0,232500.0,0.169,Home,162027.61,180.0,11.65,Delinquent,2025-08-09,1908.27,37.0,7.0,3.0,3.0,153344.98,8582.44,706.4,489.53,-5281.92,Debit,1472.86,NEFT,Travel,Successful
