loan_id,customer_id,loan_type,loan_amount,tenure_months,interest_rate,loan_status,disbursement_date
L200000,C100438,Auto,237139.41,12,15.05,Active,2026-04-24
L200001,C100721,Auto,490389.68,180,18.11,Active,2025-08-24
L200002,C100605,Personal,85129.65,60,10.44,Delinquent,2025-10-07
L200003,C100502,Personal,86069.75,48,18.3,Active,2026-06-09
L200004,C100415,Home,504862.51,48,8.98,Delinquent,2026-02-17
L200005,C100194,Personal,103105.37,12,13.74,Closed,2026-01-06
L200006,C100446,Personal,74775.06,60,8.67,Active,2025-10-24
L200007,C100174,Auto,436984.29,120,14.31,Delinquent,2025-07-31
L200008,C100667,Business,515964.4,180,14.81,Active,2026-05-10
L200009,C100776,Education,92397.34,24,12.75,Delinquent,2025-07-15
L200010,C100455,Home,956824.15,24,11.15,Active,2025-10-13
L200011,C100202,Business,294211.15,180,11.32,Active,2025-07-25
L200012,C100016,Auto,307929.49,36,15.11,Active,2025-09-13
L200013,C100793,Personal,184336.35,180,11.97,Active,2026-04-06
L200014,C100291,Personal,271860.31,120,12.79,Closed,2025-08-04
L200015,C100704,Auto,239392.8,48,12.84,Active,2025-10-01
L200016,C100566,Business,1147090.32,120,16.32,Active,2026-05-03
L200017,C100674,Auto,752546.28,60,11.74,Active,2025-10-19
L200018,C100762,Personal,104043.99,120,12.42,Active,2026-01-03
L200019,C100494,Personal,87610.63,36,15.1,Active,2026-01-29
L200020,C100509,Personal,98758.82,36,14.5,Active,2025-09-12
L200021,C100319,Education,699143.26,12,16.92,Active,2025-08-31
L200022,C100215,Consumer Durable,119545.39,60,17.32,Active,2025-07-21
L200023,C100075,Consumer Durable,17031.31,120,14.24,Active,2025-07-03
L200024,C100112,Auto,250696.88,120,15.58,Delinquent,2025-12-08
L200025,C100499,Home,728479.57,60,14.87,Closed,2025-12-31
L200026,C100148,Home,910936.6,180,11.26,Active,2025-07-21
L200027,C100151,Personal,92098.48,48,15.4,Closed,2026-04-29
L200028,C100510,Consumer Durable,104241.57,48,15.89,Active,2026-02-07
L200029,C100091,Personal,388202.2,48,12.76,Active,2025-10-20
L200030,C100666,Home,991141.65,24,18.71,Active,2025-09-18
L200031,C100277,Personal,161054.74,180,7.0,Active,2025-08-25
L200032,C100348,Personal,258078.73,48,12.16,Active,2026-01-15
L200033,C100331,Personal,83944.35,12,11.49,Active,2025-09-03
L200034,C100052,Home,947495.61,60,10.04,Active,2026-02-17
L200035,C100774,Consumer Durable,166984.1,60,11.31,Active,2025-11-26
L200036,C100201,Personal,155127.39,24,13.94,Active,2025-11-24
L200037,C100580,Auto,541038.13,12,15.92,Closed,2026-04-21
L200038,C100107,Consumer Durable,80258.1,180,15.25,Active,2026-02-01
L200039,C100478,Auto,981641.76,12,10.7,Delinquent,2025-09-03
L200040,C100128,Business,441740.0,60,12.56,Delinquent,2025-10-09
L200041,C100483,Home,796473.6,60,13.87,Active,2026-02-18
L200042,C100795,Business,148003.88,60,17.24,Active,2025-12-14
L200043,C100371,Home,814709.03,180,11.21,Active,2026-02-06
L200044,C100236,Consumer Durable,36634.09,36,16.03,Active,2025-07-16
L200045,C100338,Personal,207093.0,12,8.19,Closed,2025-10-29
L200046,C100371,Personal,58818.74,12,12.24,Delinquent,2026-03-31
L200047,C100734,Auto,988046.36,60,7.0,Closed,2026-05-28
L200048,C100125,Home,579995.44,36,11.28,Closed,2025-12-16
L200049,C100076,Personal,85229.12,48,18.6,Active,2025-10-03
L200050,C100170,Personal,82507.72,12,11.12,Closed,2025-07-30
L200051,C100705,Auto,816380.72,36,10.04,Active,2026-04-28
L200052,C100681,Consumer Durable,108927.17,24,15.34,Active,2025-12-12
L200053,C100323,Personal,73314.73,12,17.53,Closed,2025-12-08
L200054,C100512,Education,215460.68,24,8.95,Active,2025-09-23
L200055,C100031,Personal,40984.22,24,11.21,Closed,2026-04-07
L200056,C100284,Home,342318.04,36,15.12,Active,2025-09-29
L200057,C100555,Business,340682.62,180,14.49,Active,2026-05-06
L200058,C100406,Education,261396.58,120,15.07,Closed,2026-01-10
L200059,C100091,Home,687830.67,48,16.94,Active,2025-07-14
L200060,C100593,Home,636749.45,24,9.65,Closed,2026-03-01
L200061,C100292,Education,277761.24,60,15.77,Closed,2025-10-02
L200062,C100381,Personal,187571.08,36,23.45,Closed,2025-07-28
L200063,C100492,Business,433576.67,60,11.89,Closed,2026-03-18
L200064,C100297,Consumer Durable,44335.82,60,11.04,Active,2026-02-05
L200065,C100314,Consumer Durable,97486.39,12,12.81,Active,2025-07-15
L200066,C100447,Personal,120801.42,180,17.62,Active,2025-11-08
L200067,C100133,Personal,34059.62,48,12.09,Active,2025-10-14
L200068,C100038,Home,879000.37,12,7.6,Active,2026-01-16
L200069,C100407,Consumer Durable,77995.79,120,15.18,Closed,2026-02-24
L200070,C100040,Education,337782.35,36,19.49,Active,2025-11-17
L200071,C100362,Consumer Durable,225250.27,48,15.43,Active,2025-12-20
L200072,C100066,Consumer Durable,106496.68,36,11.61,Closed,2026-01-12
L200073,C100790,Consumer Durable,59876.39,48,12.12,Delinquent,2026-05-17
L200074,C100285,Personal,110759.78,120,16.85,Active,2025-12-27
L200075,C100222,Home,701207.3,60,11.02,Active,2025-11-24
L200076,C100494,Education,128941.26,24,13.0,Active,2026-06-05
L200077,C100163,Business,879843.73,180,13.13,Active,2025-08-21
L200078,C100403,Auto,1066174.48,120,13.26,Active,2026-01-04
L200079,C100578,Home,826649.1,60,9.33,Closed,2026-02-09
L200080,C100408,Personal,81819.23,48,12.94,Delinquent,2025-12-28
L200081,C100687,Personal,179345.56,12,10.63,Closed,2026-05-27
L200082,C100742,Consumer Durable,111194.09,120,9.72,Active,2026-01-31
L200083,C100167,Consumer Durable,55548.61,180,17.98,Active,2025-12-14
L200084,C100748,Personal,98919.89,60,14.86,Active,2025-08-15
L200085,C100140,Personal,177043.79,180,12.29,Active,2025-12-11
L200086,C100683,Education,235373.98,36,9.94,Active,2026-04-28
L200087,C100283,Education,133596.63,120,9.52,Active,2025-11-27
L200088,C100556,Personal,112604.39,120,10.3,Delinquent,2026-03-29
L200089,C100418,Home,1209882.03,24,9.7,Closed,2025-08-14
L200090,C100147,Personal,274322.96,36,16.53,Delinquent,2025-12-14
L200091,C100126,Home,660343.38,48,12.16,Active,2026-02-27
L200092,C100740,Consumer Durable,68436.79,180,15.99,Delinquent,2026-04-10
L200093,C100541,Auto,138667.78,120,9.14,Active,2026-04-09
L200094,C100563,Education,324146.89,48,14.51,Active,2026-05-02
L200095,C100689,Auto,364201.89,60,10.26,Closed,2025-07-09
L200096,C100636,Education,66367.73,12,13.87,Active,2025-07-23
L200097,C100564,Personal,484433.24,12,17.61,Active,2025-07-14
L200098,C100225,Education,584390.76,60,10.95,Active,2026-05-26
L200099,C100790,Home,409128.7,48,16.0,Closed,2025-07-03
L200100,C100071,Personal,285579.18,180,20.14,Active,2025-10-13
L200101,C100378,Auto,1698426.45,48,13.34,Active,2025-10-16
L200102,C100079,Personal,123674.39,24,11.42,Active,2026-03-17
L200103,C100162,Home,1290768.24,120,11.88,Active,2026-03-18
L200104,C100562,Business,415863.48,180,11.65,Active,2026-01-20
L200105,C100787,Home,583430.84,36,13.22,Active,2026-05-20
L200106,C100352,Personal,188538.35,48,11.9,Active,2026-06-24
L200107,C100152,Personal,203358.22,180,16.14,Closed,2026-04-20
L200108,C100009,Education,285780.28,36,16.06,Active,2025-08-13
L200109,C100208,Personal,66216.3,36,7.0,Closed,2025-12-16
L200110,C100473,Personal,59801.69,180,17.29,Active,2025-12-16
L200111,C100344,Consumer Durable,71540.5,48,13.67,Active,2025-08-04
L200112,C100305,Consumer Durable,170609.53,36,7.0,Active,2026-04-04
L200113,C100311,Consumer Durable,105194.14,36,13.35,Delinquent,2025-07-06
L200114,C100459,Business,138492.55,180,17.22,Active,2026-05-01
L200115,C100162,Auto,150189.66,120,11.87,Active,2026-06-27
L200116,C100339,Personal,341498.97,12,14.48,Closed,2025-09-10
L200117,C100148,Personal,90120.26,60,10.01,Delinquent,2026-03-27
L200118,C100461,Education,156424.75,48,15.36,Closed,2026-04-04
L200119,C100750,Personal,177863.34,24,8.35,Closed,2025-07-21
L200120,C100143,Consumer Durable,36596.94,48,9.86,Closed,2025-11-13
L200121,C100194,Auto,135868.23,48,10.54,Delinquent,2025-07-17
L200122,C100218,Personal,135796.46,60,14.57,Closed,2025-11-15
L200123,C100526,Auto,269757.07,24,13.34,Closed,2025-10-03
L200124,C100313,Auto,153317.67,120,15.49,Active,2026-06-20
L200125,C100083,Business,427479.74,60,11.6,Active,2025-09-02
L200126,C100651,Education,285656.01,120,10.24,Closed,2026-02-02
L200127,C100277,Personal,102870.83,36,19.44,Closed,2025-12-13
L200128,C100625,Personal,97173.11,36,12.82,Active,2026-02-17
L200129,C100680,Personal,180840.62,60,13.7,Closed,2026-02-12
L200130,C100570,Personal,103472.53,24,9.46,Closed,2025-09-09
L200131,C100577,Auto,117456.49,60,9.89,Closed,2025-08-28
L200132,C100628,Business,533929.22,12,13.91,Closed,2026-04-18
L200133,C100089,Personal,208333.63,48,14.51,Delinquent,2026-03-21
L200134,C100011,Auto,641522.47,24,9.87,Active,2025-09-17
L200135,C100561,Consumer Durable,50197.96,24,10.85,Closed,2025-08-02
L200136,C100580,Business,1644011.16,120,12.51,Delinquent,2025-11-12
L200137,C100233,Business,305451.63,36,16.35,Active,2025-12-10
L200138,C100553,Home,313916.79,12,11.98,Closed,2025-08-20
L200139,C100484,Auto,154850.17,24,18.0,Active,2025-07-09
L200140,C100534,Home,711995.78,60,15.33,Active,2025-07-09
L200141,C100068,Personal,155474.44,48,17.41,Closed,2025-09-15
L200142,C100112,Education,215187.03,60,12.73,Default,2026-04-08
L200143,C100334,Personal,625606.17,120,13.69,Active,2026-03-25
L200144,C100798,Education,926950.78,12,10.83,Closed,2025-11-21
L200145,C100574,Personal,96048.01,60,12.99,Closed,2026-05-12
L200146,C100595,Home,623391.03,36,14.32,Closed,2025-11-13
L200147,C100121,Business,1026023.07,24,9.39,Active,2025-10-28
L200148,C100126,Auto,203061.38,48,11.73,Delinquent,2025-10-24
L200149,C100265,Personal,313690.51,24,13.31,Delinquent,2025-12-30
L200150,C100310,Personal,194892.92,180,12.24,Active,2026-06-29
L200151,C100553,Business,208931.89,180,7.97,Active,2026-03-09
L200152,C100098,Home,1847041.06,60,14.06,Active,2026-02-17
L200153,C100473,Education,190517.04,36,12.53,Delinquent,2026-03-02
L200154,C100740,Consumer Durable,49432.94,36,9.52,Closed,2025-11-11
L200155,C100300,Personal,231752.47,12,13.76,Delinquent,2026-03-02
L200156,C100486,Personal,236346.49,60,11.09,Active,2025-08-03
L200157,C100588,Personal,101541.77,120,11.42,Delinquent,2026-03-10
L200158,C100223,Business,192285.32,60,16.83,Active,2026-01-14
L200159,C100194,Personal,76626.33,120,10.0,Closed,2026-02-21
L200160,C100712,Personal,217531.45,48,15.43,Active,2026-04-14
L200161,C100489,Consumer Durable,72925.78,36,13.57,Default,2026-04-27
L200162,C100648,Home,1258303.1,48,14.39,Closed,2025-09-18
L200163,C100263,Business,1768832.51,60,13.59,Closed,2025-10-04
L200164,C100655,Personal,40892.17,48,15.83,Default,2025-08-10
L200165,C100359,Home,1420187.15,180,13.17,Closed,2026-02-13
L200166,C100356,Personal,91095.74,12,11.05,Active,2025-11-12
L200167,C100288,Auto,394581.55,36,13.62,Active,2025-10-05
L200168,C100402,Personal,243845.07,60,12.89,Active,2026-01-20
L200169,C100175,Consumer Durable,77100.23,24,12.81,Active,2025-12-02
L200170,C100374,Home,658989.8,36,14.37,Active,2026-06-13
L200171,C100175,Education,322182.24,60,16.92,Active,2026-03-27
L200172,C100729,Personal,33936.01,12,14.02,Active,2025-10-23
L200173,C100737,Education,285649.08,12,16.38,Active,2026-04-08
L200174,C100569,Auto,505695.34,36,10.21,Active,2025-12-16
L200175,C100041,Auto,452460.57,60,13.08,Active,2026-03-26
L200176,C100670,Consumer Durable,195078.35,120,17.45,Active,2025-08-18
L200177,C100169,Home,3613455.65,12,11.56,Closed,2026-05-16
L200178,C100249,Personal,53832.24,36,13.3,Closed,2026-05-28
