repayment_id,loan_id,installment_no,due_date,paid_amount,missed_flag,days_past_due
R400000,L200000,1,2026-05-24,19502.25,0,3
R400001,L200000,2,2026-06-24,20622.47,0,1
R400002,L200001,1,2025-09-24,2463.09,0,5
R400003,L200001,2,2025-10-24,2565.42,0,2
R400004,L200001,3,2025-11-24,,1,82
R400005,L200001,4,2025-12-24,2795.45,0,5
R400006,L200001,5,2026-01-24,2635.1,0,6
R400007,L200001,6,2026-02-24,2701.55,0,0
R400008,L200001,7,2026-03-24,2696.79,0,5
R400009,L200001,8,2026-04-24,2491.09,0,1
R400010,L200001,9,2026-05-24,2495.65,0,1
R400011,L200001,10,2026-06-24,2741.76,0,1
R400012,L200002,1,2025-11-07,1382.66,0,5
R400013,L200002,2,2025-12-07,,1,92
R400014,L200002,3,2026-01-07,1438.26,0,5
R400015,L200002,4,2026-02-07,1371.69,0,5
R400016,L200002,5,2026-03-07,1451.06,0,6
R400017,L200002,6,2026-04-07,,1,83
R400018,L200002,7,2026-05-07,,1,66
R400019,L200002,8,2026-06-07,1320.49,0,3
R400020,L200003,1,2026-07-09,1614.61,0,4
R400021,L200004,1,2026-03-17,10519.33,0,5
R400022,L200004,2,2026-04-17,9744.84,0,2
R400023,L200004,3,2026-05-17,10710.23,0,0
R400024,L200004,4,2026-06-17,9945.94,0,0
R400025,L200005,1,2026-02-06,7920.73,0,5
R400026,L200005,2,2026-03-06,8702.78,0,2
R400027,L200005,3,2026-04-06,7983.1,0,0
R400028,L200005,4,2026-05-06,8849.75,0,1
R400029,L200005,5,2026-06-06,8690.84,0,1
R400030,L200006,1,2025-11-24,1182.78,0,4
R400031,L200006,2,2025-12-24,1122.96,0,5
R400032,L200006,3,2026-01-24,1203.78,0,0
R400033,L200006,4,2026-02-24,1304.58,0,4
R400034,L200006,5,2026-03-24,1124.28,0,4
R400035,L200006,6,2026-04-24,1277.26,0,5
R400036,L200006,7,2026-05-24,1194.14,0,5
R400037,L200006,8,2026-06-24,1240.41,0,6
R400038,L200007,1,2025-08-31,3423.09,0,4
R400039,L200007,2,2025-09-30,3783.18,0,0
R400040,L200007,3,2025-10-31,,1,66
R400041,L200007,4,2025-11-30,3512.77,0,6
R400042,L200007,5,2025-12-31,3596.39,0,3
R400043,L200007,6,2026-01-31,3622.25,0,2
R400044,L200007,7,2026-02-28,3772.56,0,0
R400045,L200007,8,2026-03-31,,1,91
R400046,L200007,9,2026-04-30,,1,36
R400047,L200007,10,2026-05-31,,1,49
R400048,L200007,11,2026-06-30,3317.65,0,1
R400049,L200008,1,2026-06-10,2591.37,0,3
R400050,L200009,1,2025-08-15,3531.89,0,1
R400051,L200009,2,2025-09-15,3727.89,0,1
R400052,L200009,3,2025-10-15,3707.83,0,6
R400053,L200009,4,2025-11-15,3762.27,0,6
R400054,L200009,5,2025-12-15,,1,30
R400055,L200009,6,2026-01-15,,1,65
R400056,L200009,7,2026-02-15,3597.85,0,3
R400057,L200009,8,2026-03-15,3813.13,0,6
R400058,L200009,9,2026-04-15,3505.33,0,4
R400059,L200009,10,2026-05-15,4011.4,0,1
R400060,L200009,11,2026-06-15,3800.71,0,0
R400061,L200010,1,2025-11-13,38808.15,0,5
R400062,L200010,2,2025-12-13,41496.93,0,5
R400063,L200010,3,2026-01-13,36211.61,0,0
R400064,L200010,4,2026-02-13,38480.95,0,4
R400065,L200010,5,2026-03-13,36482.36,0,4
R400066,L200010,6,2026-04-13,41372.64,0,1
R400067,L200010,7,2026-05-13,41760.22,0,2
R400068,L200010,8,2026-06-13,41384.73,0,0
R400069,L200011,1,2025-08-25,1605.97,0,0
R400070,L200011,2,2025-09-25,1508.62,0,6
R400071,L200011,3,2025-10-25,,1,95
R400072,L200011,4,2025-11-25,1567.8,0,1
R400073,L200011,5,2025-12-25,1623.42,0,1
R400074,L200011,6,2026-01-25,1624.48,0,4
R400075,L200011,7,2026-02-25,1642.18,0,1
R400076,L200011,8,2026-03-25,1472.7,0,1
R400077,L200011,9,2026-04-25,1555.75,0,6
R400078,L200011,10,2026-05-25,1617.93,0,0
R400079,L200011,11,2026-06-25,1694.11,0,6
R400080,L200012,1,2025-10-13,8938.63,0,3
R400081,L200012,2,2025-11-13,7984.78,0,6
R400082,L200012,3,2025-12-13,7973.29,0,0
R400083,L200012,4,2026-01-13,8327.96,0,1
R400084,L200012,5,2026-02-13,8862.7,0,6
