transaction_id,customer_id,transaction_date,transaction_type,transaction_amount,payment_channel,merchant_category,transaction_status
T300000,C100367,2025-07-25,Debit,367.05,Card,Travel,Successful
T300001,C100246,2025-10-07,Debit,307.17,UPI,Education,Successful
T300002,C100158,2025-07-24,Credit,5741.52,IMPS,Restaurants,Successful
T300003,C100056,2025-10-26,Debit,510.99,Card,Education,Successful
T300004,C100246,2025-09-22,Debit,7350.36,NEFT,Travel,Successful
T300005,C100774,2026-05-19,Debit,3180.97,UPI,Shopping,Successful
T300006,C100594,2025-07-06,Credit,4569.84,Card,Shopping,Successful
T300007,C100533,2025-09-14,Debit,2137.83,Card,Restaurants,Successful
T300008,C100062,2025-11-23,Credit,5813.59,NEFT,Groceries,Successful
T300009,C100488,2026-01-15,Debit,1187.9,UPI,Groceries,Successful
T300010,C100087,2026-04-25,Credit,409.49,IMPS,Groceries,Successful
T300011,C100235,2025-09-22,Debit,3294.86,Card,Travel,Reversed
T300012,C100504,2026-03-03,Credit,159.8,Net Banking,Utilities,Successful
T300013,C100573,2025-08-27,Debit,2159.09,NEFT,Education,Successful
T300014,C100322,2025-10-26,Debit,945.71,Card,Groceries,Successful
T300015,C100648,2025-12-21,Debit,10226.42,Net Banking,Healthcare,Successful
T300016,C100150,2025-11-19,Credit,19840.32,NEFT,Restaurants,Successful
T300017,C100285,2025-07-13,Debit,225.48,Net Banking,Shopping,Successful
T300018,C100231,2026-04-19,Debit,9359.02,NEFT,Utilities,Successful
T300019,C100722,2025-09-05,Credit,1324.92,IMPS,Shopping,Successful
T300020,C100773,2026-04-17,Debit,7388.42,Net Banking,Shopping,Successful
T300021,C100077,2026-01-28,Debit,2851.29,Card,Groceries,Successful
T300022,C100338,2025-07-17,Credit,4229.29,Net Banking,Groceries,Successful
T300023,C100240,2026-01-22,Debit,2869.74,Net Banking,Restaurants,Successful
T300024,C100693,2025-07-14,Debit,1478.92,Card,Utilities,Successful
T300025,C100249,2025-07-24,Debit,1230.92,IMPS,Utilities,Successful
T300026,C100497,2025-10-12,Debit,3288.11,IMPS,Travel,Successful
T300027,C100436,2026-03-28,Debit,1299.19,Net Banking,Utilities,Successful
T300028,C100483,2026-02-02,Debit,22734.56,Card,Utilities,Successful
T300029,C100504,2026-01-20,Debit,832.62,UPI,Shopping,Successful
T300030,C100085,2026-03-20,Debit,887.92,UPI,Education,Successful
T300031,C100662,2025-07-04,Debit,742.51,NEFT,Shopping,Successful
T300032,C100567,2025-08-19,Credit,5689.86,Net Banking,Education,Successful
T300033,C100341,2025-11-13,Credit,576.23,Net Banking,Education,Successful
T300034,C100653,2026-06-28,Credit,25418.04,NEFT,Travel,Successful
T300035,C100686,2025-08-31,Credit,,Card,Utilities,Successful
T300036,C100291,2025-12-24,Debit,8685.14,Net Banking,Shopping,Successful
T300037,C100200,2025-09-14,Debit,4094.01,Card,Groceries,Successful
T300038,C100475,2025-07-13,Credit,2314.26,Card,Education,Reversed
T300039,C100621,2026-06-08,Credit,3004.67,NEFT,Restaurants,Successful
T300040,C100338,2025-08-22,Credit,1378.97,Card,Utilities,Successful
T300041,C100086,2025-09-29,Debit,897.69,Net Banking,Shopping,Successful
T300042,C100290,2025-09-09,Debit,1357.41,Net Banking,Education,Successful
T300043,C100150,2026-06-11,Credit,725.42,NEFT,Groceries,Successful
T300044,C100744,2025-10-25,Debit,2985.21,NEFT,Utilities,Successful
T300045,C100167,2026-04-07,Debit,13098.4,Net Banking,Education,Successful
T300046,C100592,2026-03-23,Debit,6842.97,NEFT,Groceries,Successful
T300047,C100151,2025-07-06,Debit,1321.05,Card,Travel,Successful
T300048,C100399,2026-01-24,Debit,1812.33,UPI,Education,Successful
T300049,C100634,2025-08-17,Debit,2138.65,IMPS,Shopping,Reversed
T300050,C100641,2026-02-18,Debit,3905.54,IMPS,Education,Successful
T300051,C100425,2025-11-28,Debit,2457.91,Net Banking,Utilities,Successful
T300052,C100702,2025-12-02,Debit,4132.1,IMPS,Healthcare,Successful
T300053,C100734,2025-11-13,Credit,7133.66,IMPS,Groceries,Successful
T300054,C100536,2025-12-09,Debit,892.54,NEFT,Shopping,Successful
T300055,C100421,2026-02-22,Debit,1891.74,Card,Healthcare,Successful
T300056,C100445,2026-06-11,Debit,3688.58,IMPS,Shopping,Successful
T300057,C100709,2025-10-08,Debit,4110.53,UPI,Shopping,Successful
T300058,C100690,2026-03-05,Debit,1445.04,UPI,Shopping,Successful
T300059,C100654,2025-08-16,Debit,1563.64,Card,Education,Successful
T300060,C100052,2025-10-26,Debit,2569.25,UPI,Groceries,Successful
T300061,C100379,2026-04-10,Credit,1494.82,IMPS,Groceries,Successful
T300062,C100514,2026-04-11,Debit,851.67,UPI,Restaurants,Successful
T300063,C100399,2026-02-11,Debit,1863.59,Net Banking,Education,Successful
T300064,C100446,2025-11-28,Debit,1662.1,UPI,Education,Successful
T300065,C100023,2026-06-03,Debit,108.58,Net Banking,Shopping,Successful
T300066,C100701,2025-09-10,Debit,2012.01,Net Banking,Healthcare,Successful
T300067,C100039,2026-01-31,Debit,8446.75,NEFT,Shopping,Successful
T300068,C100306,2026-02-12,Debit,8618.73,NEFT,Utilities,Successful
T300069,C100290,2025-12-06,Debit,5822.91,IMPS,Travel,Successful
T300070,C100675,2025-11-08,Credit,984.16,Card,Healthcare,Successful
T300071,C100345,2026-01-25,Debit,3467.58,IMPS,Restaurants,Successful
T300072,C100315,2025-07-08,Credit,15103.49,Net Banking,Groceries,Successful
T300073,C100514,2026-06-22,Credit,736.47,UPI,Education,Successful
T300074,C100058,2025-09-01,Debit,10753.42,Net Banking,Education,Successful
T300075,C100212,2026-02-26,Debit,2541.1,Net Banking,Restaurants,Successful
T300076,C100304,2026-01-05,Credit,618.8,Net Banking,Restaurants,Successful
T300077,C100720,2025-08-27,Credit,64815.91,IMPS,Education,Successful
T300078,C100491,2025-12-09,Debit,298.95,Net Banking,Groceries,Successful
T300079,C100612,2025-07-24,Debit,1802.81,NEFT,Shopping,Successful
T300080,C100223,2026-03-28,Credit,1615.52,Net Banking,Shopping,Successful
T300081,C100574,2025-12-15,Debit,3813.22,Card,Healthcare,Failed
T300082,C100700,2025-08-08,Debit,2689.6,NEFT,Groceries,Successful
T300083,C100738,2026-02-02,Debit,1318.22,Card,Healthcare,Successful
T300084,C100023,2025-08-08,Debit,256.43,IMPS,Utilities,Failed
T300085,C100757,2025-10-27,Credit,1645.05,Card,Restaurants,Successful
T300086,C100546,2026-04-09,Debit,1478.72,UPI,Healthcare,Successful
T300087,C100443,2026-04-21,Credit,3567.77,Card,Healthcare,Successful
T300088,C100277,2026-05-10,Debit,1333.16,Net Banking,Restaurants,Reversed
T300089,C100380,2026-02-06,Credit,355.13,Net Banking,Healthcare,Successful
T300090,C100437,2026-03-07,Debit,3920.64,NEFT,Groceries,Reversed
T300091,C100585,2025-09-20,Credit,3289.54,Card,Utilities,Successful
T300092,C100747,2025-08-15,Credit,5623.42,IMPS,Education,Successful
T300093,C100001,2025-11-07,Debit,2820.75,NEFT,Utilities,Successful
T300094,C100621,2026-03-10,Debit,11833.2,UPI,Education,Successful
T300095,C100028,2026-02-05,Debit,4113.25,NEFT,Education,Successful
T300096,C100641,2025-08-14,Credit,621.94,Net Banking,Utilities,Successful
T300097,C100221,2026-02-08,Credit,4549.35,Card,Restaurants,Successful
T300098,C100008,2025-08-24,Debit,4740.9,IMPS,Groceries,Successful
T300099,C100033,2025-07-12,Credit,3526.07,Net Banking,Groceries,Successful
T300100,C100128,2025-11-13,Debit,1823.57,Net Banking,Restaurants,Successful
T300101,C100281,2025-12-17,Debit,4580.97,Card,Travel,Successful
T300102,C100354,2026-04-27,Credit,6070.23,Card,Restaurants,Successful
T300103,C100747,2026-03-06,Debit,1990.36,Card,Education,Successful
T300104,C100149,2025-12-15,Debit,617.49,Card,Utilities,Successful
T300105,C100401,2025-11-12,Debit,871.06,Net Banking,Healthcare,Successful
T300106,C100662,2025-12-22,Credit,4285.7,NEFT,Travel,Successful
T300107,C100149,2026-05-25,Debit,3953.69,IMPS,Travel,Successful
T300108,C100768,2025-09-28,Debit,6128.22,Net Banking,Restaurants,Successful
T300109,C100182,2026-05-20,Credit,931.7,IMPS,Healthcare,Successful
T300110,C100576,2025-07-21,Debit,2311.87,IMPS,Healthcare,Successful
T300111,C100730,2026-05-13,Debit,16810.03,IMPS,Restaurants,Successful
T300112,C100732,2025-07-13,Debit,5140.14,Card,Shopping,Successful
T300113,C100733,2025-11-25,Debit,2202.86,IMPS,Utilities,Successful
T300114,C100313,2026-02-16,Credit,7672.85,Card,Utilities,Successful
